"-OR-","-O-"
"Authorization Honor Period (days)","Authorization Honor Period (giorni)"
"Authorized amount of %s.","Quantità autorizzata di %s."
"Authorizing amount of %s is pending approval on gateway.","L\'autorizzazione per la quantità di %s è in attesa di approvazione dal gateway."
"Buyer\'s Tax ID","ID tasse dell\'acquirente"
"Buyer\'s Tax ID Type","Tipo ID tasse dell\'acquirente"
"CNPJ","CNPJ"
"CPF","CPF"
"Number of Child Authorizations","Numero di autorizzazioni figlie"
"Order Valid Period (days)","Periodo validità ordine (giorni)"
"Ordered amount of %s.","Quantità ordinatà %s."
"Ordering amount of %s is pending approval on gateway.","La quantità ordinata di %s è in attesa di approvazione dal gateway."
"Please agree to all the terms and conditions before placing the order.","Accetta tutti i termini e le condizioni prima di effettuare l\'ordine"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Specifica cos\'è l\'Authorization Honor Period sull\'account PayPal del commerciante. Deve rispecchiare l\'impostazione di PayPal"
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Specifica cosa è l\'Order Valid Period nell\'account PayPal del commerciante. Deve rispecchiare l\'mpostazione di PayPal."
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","Il numero di default delle autorizzazioni figlie nel tuo account PayPal è 1. Per avere autorizzazioni multiple contatta PayPal per un incremento"
"The maximum number of child authorizations is reached.","Il numero massimo di autorizzazioni figlie è stato raggiunto."
